 Etanol porcentaje,nd indice de refraccion,moles etanol,moles h20,Fraccion molar etanol,indice de refraccion,Ebullicion,ndl,ndv
0,1.333,0,5.538290788,0,1.333,78,1.3614,1.3614
2,1.3342,0.034252225,5.427524972,0.00627126,1.3342,79,1.3642,1.363
4,1.3354,0.06850445,5.316759156,0.012720724,1.3354,80,1.365,1.363
6,1.3367,0.102756675,5.205993341,0.019356096,1.3367,81,1.3655,1.3636
8,1.3381,0.1370089,5.095227525,0.026185533,1.3381,82,1.3658,1.3646
10,1.3395,0.171261124,4.984461709,0.033217675,1.3395,83,1.3655,1.3653
12,1.341,0.205513349,4.873695893,0.040461682,1.341,84,1.365,1.3656
14,1.3425,0.239765574,4.762930078,0.047927276,1.3425,85,1.3641,1.3658
16,1.344,0.274017799,4.652164262,0.055624781,1.344,86,1.3626,1.3655
18,1.3455,0.308270024,4.541398446,0.063565175,1.3455,87,1.361,1.3647
20,1.3469,0.342522249,4.43063263,0.071760137,1.3469,88,1.359,1.3638
22,1.3484,0.376774474,4.319866815,0.08022211,1.3484,89,1.3557,1.3626
26,1.3511,0.445278923,4.098335183,0.098001043,1.3511,90,1.3524,1.361
28,1.3524,0.479531148,3.987569367,0.107347293,1.3524,91,1.3484,1.359
30,1.3535,0.513783373,3.876803552,0.117019292,1.3535,92,1.3469,1.3566
32,1.3546,0.548035598,3.766037736,0.127034372,1.3546,93,1.3425,1.3535
34,1.3557,0.582287823,3.65527192,0.137411118,1.3557,94,1.3395,1.3484
36,1.3566,0.616540048,3.544506104,0.148169481,1.3566,95,1.3354,1.3455
38,1.3575,0.650792273,3.433740289,0.159330906,1.3575,100,1.333,1.333
40,1.3583,0.685044498,3.322974473,0.170918477,1.3583,,,
42,1.359,0.719296722,3.212208657,0.182957074,1.359,,,
44,1.3598,0.753548947,3.101442841,0.195473554,1.3598,,,
46,1.3604,0.787801172,2.990677026,0.208496948,1.3604,,,
48,1.361,0.822053397,2.87991121,0.222058686,1.361,,,
50,1.3616,0.856305622,2.769145394,0.236192854,1.3616,,,
52,1.3621,0.890557847,2.658379578,0.250936475,1.3621,,,
54,1.3626,0.924810072,2.547613762,0.266329836,1.3626,,,
56,1.363,0.959062297,2.436847947,0.282416857,1.363,,,
58,1.3634,0.993314521,2.326082131,0.299245503,1.3634,,,
60,1.3638,1.027566746,2.215316315,0.31686827,1.3638,,,
62,1.3641,1.061818971,2.104550499,0.335342726,1.3641,,,
64,1.3644,1.096071196,1.993784684,0.354732142,1.3644,,,
66,1.3647,1.130323421,1.883018868,0.375106215,1.3647,,,
68,1.365,1.164575646,1.772253052,0.396541905,1.365,,,
70,1.3652,1.198827871,1.661487236,0.419124406,1.3652,,,
72,1.3654,1.233080096,1.550721421,0.442948281,1.3654,,,
74,1.3655,1.26733232,1.439955605,0.46811878,1.3655,,,
76,1.3657,1.301584545,1.329189789,0.4947534,1.3657,,,
78,1.3657,1.33583677,1.218423973,0.522983714,1.3657,,,
80,1.3658,1.370088995,1.107658158,0.55295755,1.3658,,,
82,1.3657,1.40434122,0.996892342,0.584841576,1.3657,,,
84,1.3656,1.438593445,0.886126526,0.618824402,1.3656,,,
86,1.3655,1.47284567,0.77536071,0.655120314,1.3655,,,
88,1.3653,1.507097895,0.664594895,0.693973799,1.3653,,,
90,1.365,1.541350119,0.553829079,0.735665055,1.365,,,
92,1.3646,1.575602344,0.443063263,0.780516762,1.3646,,,
94,1.3642,1.609854569,0.332297447,0.828902452,1.3642,,,
96,1.3636,1.644106794,0.221531632,0.881256931,1.3636,,,
98,1.363,1.678359019,0.110765816,0.938089387,1.363,,,
100,1.3614,1.712611244,0,1,1.3614,,,
